ID	Gene Symbol
100_g_at	RABGGTA
1000_at	MAPK3
1001_at	TIE1
1002_f_at	CYP2C19
1003_s_at	CXCR5
1004_at	CXCR5
1005_at	DUSP1
1006_at	MMP10
1007_s_at	DDR1 /// MIR4640
1008_f_at	EIF2AK2
1009_at	HINT1
101_at	DYRK4
1010_at	MAPK11
1011_s_at	YWHAE
1012_at	KAT2B
1013_at	SMAD5
1014_at	POLG
1015_s_at	LIMK1
1016_s_at	IL13RA2
1017_at	MSH6
1018_at	WNT10B
1019_g_at	WNT10B
102_at	HIPK3
1020_s_at	CIB1
1021_at	IFNG
1022_f_at	IFNA14
1023_at	EPO
1024_at	CYP1A1
1025_g_at	CYP1A1
1026_s_at	COL11A2
1027_at	COL11A2
1028_at	TOP3A
1029_s_at	TXK
103_at	THBS4
1030_s_at	TOP1
1031_at	SRPK1
1032_at	CXCR2
1033_g_at	CXCR2
1034_at	TIMP3
1035_g_at	TIMP3
1036_at	IL15
1037_at	BAGE
1038_s_at	IFNGR1
1039_s_at	HIF1A
104_at	POU6F1
1040_s_at	ABI2
1041_at	EFNA5
1042_at	RARRES1
1043_s_at	RAD52
1044_s_at	E2F5
1045_s_at	RELA
1046_at	IFIT5
1047_s_at	LOC101930052 /// LOC102724562 /// MST1 /// MST1L /// MST1P2
1048_at	RXRG
1049_g_at	RXRG
105_at	NR1I3
1050_at	MLANA
1051_g_at	MLANA
1052_s_at	CEBPD
1053_at	RFC2
1054_at	RFC4
1055_g_at	RFC4
1056_s_at	IL16
1057_at	CRABP2
1058_at	WASF3
1059_at	NTRK3
106_at	RUNX3
1060_g_at	NTRK3
1061_at	IL10RA
1062_g_at	IL10RA
1063_s_at	TYRO3
1064_at	TWF1
1065_at	FLT3
1066_at	IL12RB1
1067_at	FLT3LG
1068_g_at	FLT3LG
1069_at	PTGS2
107_at	RAB40AL
1070_at	GTF2B
1071_at	GATA2
1072_g_at	GATA2
1073_at	TCEA1
1074_at	RAB1A
1075_f_at	IFNA16
1076_at	IL1A
1077_at	RAG1
1078_at	PRLR
1079_g_at	PRLR
108_g_at	RAB40A /// RAB40AL /// RAB40B
1080_s_at	CYP1A2
1081_at	ODC1
1082_at	PLCG1
1083_s_at	MUC1
1084_at	ABL2
1085_s_at	PLCG2
1086_at	CSF2RB
1087_at	EPOR
1088_at	BDNF
1089_i_at	
109_at	RABEPK
1090_f_at	
1091_at	PRKAR1B
1092_at	EDN2
1093_at	PPP2R1B
1094_g_at	PPP2R1B
1095_s_at	HGF
1096_g_at	CD19
1097_s_at	CCR7
1098_at	THPO
1099_s_at	GSTT2 /// GSTT2B
110_at	CSPG4
1100_at	IRAK1
1101_at	APBB1
1102_s_at	NR3C1
1103_at	ANG
1104_s_at	HSPA1A /// HSPA1B /// HSPA1L
1105_s_at	IL23A /// TRBC2 /// TRBC2
1106_s_at	TRAC /// TRAJ17 /// TRAV20 /// TRDV2
1107_s_at	ISG15
1108_s_at	EPHA1
1109_s_at	PDGFA
111_at	RABGGTA
1110_at	TCRDV2 /// TRDC /// TRDC /// YME1L1
1111_at	NCAM1
1112_g_at	NCAM1
1113_at	BMP2
1114_at	BMP4
1115_at	PF4
1116_at	
1117_at	CDA
1118_at	PTGER4
1119_at	RPA2
112_g_at	TAF1
1120_at	GSTM3
1121_g_at	GSTM3
1122_f_at	CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8
1123_at	GHRHR
1124_at	KMT2A
1125_s_at	CD44
1126_s_at	CD44
1127_at	RPS6KA1
1128_s_at	CCR1
1129_at	GBX1
113_i_at	MAPT
1130_at	MAP2K1
1131_at	MAP2K2
1132_s_at	RARG
1133_at	EN2
1134_at	TNK2
1135_at	GRK5
1136_at	DTYMK
1137_at	SLC20A2
1138_at	SLC20A1
1139_at	GNA13
114_r_at	MAPT
1140_at	ITGAE
1141_at	MC5R
1142_at	
1143_s_at	FGFR2
1144_at	FGFR2
1145_g_at	FGFR2
1146_at	CD4
1147_at	NR2F1
1148_s_at	NRG1
1149_at	TFEB
115_at	THBS1
1150_at	PTPRE
1151_at	RPL22
1152_i_at	CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8
1153_f_at	CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8
1154_at	EIF2S1
1155_at	MYCLP1 /// MYCLP1
1156_at	SP1
1157_s_at	IFNAR1
1158_s_at	CALM1 /// CALM2 /// CALM3
1159_at	IL7
116_at	PRKAR2A
1160_at	CYC1
1161_at	HSP90AB1
1162_g_at	GNL1
1163_at	PIK3CB
1164_at	UBE2D1
1165_at	IL18
1166_at	PSMD2
1167_s_at	MMP15
1168_at	PCDHB17
1169_at	PCDHGB7
117_at	HSPA6
1170_at	CSF1
1171_s_at	POU2F1
1172_at	SAT1
1173_g_at	SAT1
1174_at	MOS
1175_s_at	CYP2C8
1176_at	ITGB3
1177_at	
1178_at	DHFR
1179_at	HSPA8 /// SNORD14C /// SNORD14D
118_at	ITPKA
1180_g_at	HSPA8 /// SNORD14C /// SNORD14D
1181_at	GNL1
1182_at	PLCL1
1183_at	CCL17
1184_at	MIR7703 /// PSME2
1185_at	IL3RA
1186_at	GDF10
1187_at	LIG3
1188_g_at	LIG3
1189_at	CDK8
1190_at	PTPRO
1191_s_at	PSMD11
1192_at	PSMD12
1193_at	UBE3A
1194_g_at	UBE3A
1195_s_at	ITGB1BP1
1196_at	RCC1
1197_at	ACTG2
1198_at	EDNRB
1199_at	EIF4A1 /// LOC101928634 /// SENP3-EIF4A1 /// SNORA48 /// SNORA67 /// SNORD10
120_at	ITGA1
1200_at	GLI2
1201_at	RAB33A
1202_g_at	RAB33A
1203_at	INHBA
1204_at	DGKG
1205_at	
1206_at	CDK5
1207_at	CDK6
1208_at	PTK6
1209_at	TRAF6
121_at	PAX8
1210_s_at	TNFRSF25
